"nconst","primaryName","knownForTitles"
"nm0000233","Quentin Tarantino","tt0105236,tt0110912,tt7131622,tt0116367"
"nm0000234","Charlize Theron","tt0340855,tt1392190,tt1735898,tt5610554"
"nm0000235","Uma Thurman","tt0266697,tt0378194,tt0110912,tt0118688"
"nm0000236","Jennifer Tilly","tt0115736,tt0144120,tt0387575,tt0109348"
"nm0000237","John Travolta","tt0110912,tt0113161,tt0076666,tt0077631"
"nm0000239","Liv Tyler","tt0120591,tt0167260,tt0120737,tt0482606"
"nm0000240","Skeet Ulrich","tt0117571,tt0115963,tt0409572,tt0913354"
"nm0000241","Jean-Claude Van Damme","tt0101764,tt0119013,tt0097659,tt0107711"
"nm0000242","Mark Wahlberg","tt0964517,tt0118749,tt0407887,tt1637725"
"nm0000243","Denzel Washington","tt2671706,tt1037705,tt0139654,tt0168786"
"nm0000244","Sigourney Weaver","tt0118583,tt0078748,tt0499549,tt0095243"
"nm0000245","Robin Williams","tt0107614,tt0093105,tt0265459,tt0077053"
"nm0000246","Bruce Willis","tt0095016,tt0110912,tt0088571,tt0167404"
"nm0000247","John Woo","tt0092263,tt0425637,tt0104684,tt0097202"
"nm0000249","James Woods","tt0120877,tt0119282,tt0159097,tt0086541"
"nm0000250","Renée Zellweger","tt0299658,tt0159365,tt0116695,tt0243155"
"nm0000251","Timothy Dowling","tt2120120,tt0181852,tt1596350,tt1564367"
"nm0000252","Robert Ellis","tt0010781,tt0030778,tt0006213,tt0030738"
"nm0000254","Isabelle Adjani","tt0082933,tt0094828,tt0073114,tt0079641"
"nm0000255","Ben Affleck","tt1024648,tt2267998,tt0840361,tt0119217"
"nm0000256","Jenny Agutter","tt0074812,tt0082010,tt0848228,tt0067959"
"nm0000257","Alan Alda","tt0068098,tt0082405,tt0097123,tt7653254"
"nm0000260","Joan Allen","tt3170832,tt0115988,tt0452608,tt0113987"
"nm0000261","Karen Allen","tt0082971,tt0088172,tt0367882,tt0077975"
"nm0000262","Nancy Allen","tt0080661,tt0093870,tt0107978,tt0100502"
"nm0000263","Kirstie Alley","tt0084726,tt0157503,tt0097778,tt0114852"
